texto,is_offensive,label
"Pior do que adolescentezinhas de merda...são pessoas que levam filmes tão a sério! O livro/filme é dela, ela faz o que quiser! E por mais ruim que seja, ta rendendo milhões (:",OFF,1
"Podia ter beijo também, pra ver se o homofóbicos cortar os pulsos",OFF,1
"o monark não é racista que filha da putagem, já sofreram mano, o flow vai cair e já era, bah que foda isso tudo...",OFF,1
fudeu minha mãe acabou de chegar em casa e eu acabei de acordar tomei no cu,OFF,1
"Vergonha,ainda segura a bandeira de um país de verdade ,não esse puteiro que tá tendo aqui. USER tá preocupado mais com a fama do que com o Brasil, nunca mais verá meu apoio",OFF,1
"USER Que vagabunda hipócrita, pq eu beijei as duas então geral se traiu e ela n pode reclamar",OFF,1
"""Heterofobismo?"" Pelo que eu saiba héteros nunca foram perseguidos, mortos e torturados por centenas de anos pela sua orientação sexual. Em alguns países do Oriente, gays são presos e , as vezes, mortos só por causa de orientação sexual. Isso NUNCA aconteceu e nem vai acontecer com héteros. A implantação nas escolas da ideia de que existem casais diferentes é ótima! O conhecimento é a arma contra a ignorância e tenho certeza que vai ajudar muitas crianças confusas por aí! ""Heterofobismo?"" Estude mais um pouco antes de abrir a boca e passar vergonha, por favor.",OFF,1
USER Jajajajajaja llevan 62 años diciendo lo mismo. Son gente ignorante. URL,OFF,1
Pra mim kkkk puta história fantasiosa,OFF,1
USER Desgraçado. Mentiroso. Vc acabou com minha dignidade.,OFF,1
RT USER: Ojalá que Lina indique a alguno de los de Disney así aprenden a no ser burros HASHTAG,OFF,1
USER Quem abraça ladrão é o que sua bosta?,OFF,1
">americas lotado de caboclas gostosas partindo das pálidas até as mais escuras estilo pocahontas>das mais qt's até as mais cavalas >floquinho de neve quer porque quer se enfiar em uma reserva cheia de índio armado caçando ele com hilux pra sujar a genética de um povo que descende apenas de 70 pessoas e tem separação do resto da humanidade de mais de 24k de anosé muita síndrome de floquinho de neve, puta merda.",OFF,1
"O diabo é sujo mesmo, ele tem orgulho de contar cada detalhe pra envergonhar mais ainda ela. 🤢",OFF,1
USER Ja ta pedindo p ser punida? Sua putinha inutil do krl cala a boca e eu vou fazer oq quero,OFF,1
"Sinceramente, no Brasil o crime compensa,o cara mata a própria filha, de forma cruel, e ainda ta ai livre,que bosta de justiça a nossa!",OFF,1
Seu idiota porque vc acertou ele com uma faca,OFF,1
"É importante que o homem trate bem as mulheres, mas não acredito que foi isso que conquistou a mulher da questão, pois ela foi parando o carro e chamando pra fazer sexo.",OFF,1
Que bosta!!!✌🏽,OFF,1
USER USER Hindu santo par atyachar koi aam bat nahi hai gay mata ko kata jaa raha hai koi aam bat nahi hai yeh bharet hai yaha for dalo aur shasan karo is baat ka fayda angrejo aur mugloo ne uthaya tha modi ji ab karo vichar kattee gaye aur kathe hindu kare pukar,OFF,1
USER é USER ! USER é USER!! Kkkkkkkkkk,OFF,1
"O cara é foda, sem comentários. Que riqueza de detalhes. Perfeito. Merece o mundo.",OFF,1
"USER pode achar seu principe encantado,mas sempre vai acabar: Gorda,feia,virgem,cheia de poster de crepúsculo a parede!!",OFF,1
"USER Quando anunciaram esse dinossauro, dava pulo de raiva depois daquela final com o santo André e ainda por cima com a mão no saco mucho e mostrando para nossa torcida, contrataram esse lixo e agora fica se fazendo de vítima.",OFF,1
"RT USER: USER semejante HIPÓCRITA, vis te sentis seguro por que las pandillas son tus amigos el Salvadoreño promedio vive…",OFF,1
"Primeiramente mandaria se foder pq amigo nenhum diz que outras garotas são melhores. Depois é perguntar se ele realmente tem interesse, e se não tiver parar de agir como se tivesse",OFF,1
USER esse maluco ai é asqueroso pprt e a mina é maluquinha da cabeça tambem,OFF,1
USER canalha!,OFF,1
USER Ladrões Unidos !,OFF,1
Meno burrão,OFF,1
"A podridão vindo a tona, USER está fazendo tudo que já de ruim nesse país se mostrar. Força USER, eles vão cair! Traidores da nação.",OFF,1
"USER USER USER Nojento, FDP, Ladrão.",OFF,1
RT USER: merda inferno cu buceta porra carai,OFF,1
Sexo a 4 hoje kkkk O boy do pornozão arrebentando na tv.. E Eu esse rabudo no amadorismo.. bundona porem cuzin apertado. Mas foi uma dlc fuder com ele ☺ URL,OFF,1
USER pais bizarro .,OFF,1
"USER Não importa, ele é velhinho e burro não sabe nem falar ""analfabeto"". Você não tem respeito pelos mais velhos!? Vou contar ao divino",OFF,1
"A mulher coitada esta carente, mais USER culpada , o vara estava na dele.",OFF,1
"Antigamente os lobisomens eram feras muito sanguinarias e travavam batalhas contra vampiros mais agora se uma menina ve um lobisomem ela fala:“nossa que estranho os lobisomens andão sem camisa"" USER ENUSERNDE UMA COISA A USER DO VAMPIRO USER BRILHA NO SOL CARALHO E USER USER USER USER SEM CAMISA E USER USER LOBUSER USER E TAMBÉM USER USER USER USER PORRRAAAAARRAAA",OFF,1
RT USER: aproveitando as férias para moldar uma personalidade para o presencial.. estudioso? faltoso? piranha? preguiçoso? que tal esco…,OFF,1
